task,cell,framing,feature_set,n_features,classifier,weighted,n_train,n_pos,n_neg,base_rate,pr_auc_mean,pr_auc_std,pr_auc_minority_mean,pr_auc_minority_std,recall_at_prec90_mean,recall_at_prec90_std,precision_at_recall50_mean,precision_at_recall50_std,logloss_mean,logloss_std,brier_mean,brier_std,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_at_op_mean,balanced_accuracy_at_op_std,oof_pr_auc,chosen_C,seconds
filter,baseline,reference,FLOOR,21,logreg,False,1757,1310,447,0.7455890722822994,0.8611003169329615,0.0216325246640098,0.4591183203524346,0.0566421821993667,0.3595419847328244,0.2417329583352347,0.8808567947978071,0.0218897667381989,0.5200451135635376,0.0124985097215249,0.1705456584692001,0.0062263700593963,0.5470711229284004,0.0183269718272987,0.622692340681019,0.0816926878113642,0.8570934381184723,"0.1,0.01,0.01,0.01,0.01",2.295353412628174
filter,baseline,reference,FLOOR,21,logreg,True,1757,1310,447,0.7455890722822994,0.8604117272936203,0.0208297604338103,0.4576668944628823,0.0538412026539309,0.3511450381679389,0.2333712761999908,0.883799496887686,0.0202553664009728,0.6289396166801453,0.0090702178013727,0.2185380697250366,0.00455517166975,0.6656045401263687,0.0202770001875861,0.6218646539154301,0.0779404241420958,0.856883098095304,"0.1,0.01,0.01,0.01,0.01",1.4319007396697998
filter,baseline,reference,FLOOR,21,xgboost,False,1757,1310,447,0.7455890722822994,0.8534465625644072,0.0224630002987238,0.4248268923811027,0.0527006055728685,0.3053435114503817,0.1609854710607873,0.8657674263141407,0.033715100210181,0.5528518676757812,0.0402390521510332,0.1802679389715194,0.0129631828342758,0.5689499766513233,0.02901153528651,0.6045568992957276,0.0554582833543566,0.8513232521008871,,1.336078405380249
filter,baseline,reference,FLOOR,21,xgboost,True,1757,1310,447,0.7455890722822994,0.8491092396564912,0.0205010010219749,0.4234146148857662,0.0467097068637557,0.3282442748091603,0.1751155686557933,0.8594455465173955,0.0339076228082331,0.5864100933074952,0.0397547710329405,0.1979076355695724,0.0145857638028175,0.6205721855314446,0.0325271576362041,0.6115253833471519,0.0588356583064082,0.8466786089291869,,0.7436237335205078
filter,baseline,reference,FLOOR+terminus,22,logreg,False,1757,1310,447,0.7455890722822994,0.8635413984811228,0.019788765998825,0.4772689572085106,0.0712137997589013,0.3091603053435114,0.187120242622218,0.8759999570619401,0.0253412311660893,0.5147176802158355,0.0178173921946278,0.1683320224285125,0.0085275397401067,0.5519292678045573,0.0269612175077501,0.606427843058772,0.063202895178797,0.8602137520611342,"0.1,0.01,0.01,0.01,0.01",1.3489038944244385
filter,baseline,reference,FLOOR+terminus,22,logreg,True,1757,1310,447,0.7455890722822994,0.8630063566838944,0.0183154494543845,0.4763111196535622,0.0726570047352664,0.3206106870229007,0.1771214450407955,0.8738289619093308,0.0196071898823192,0.62337886095047,0.0148559122469327,0.2161362946033477,0.0068504382468993,0.6634341614966026,0.0306058896326668,0.6099308116762444,0.0596626316088273,0.8579057791897338,"0.1,0.1,0.01,0.01,0.01",1.5064010620117188
filter,baseline,reference,FLOOR+terminus,22,xgboost,False,1757,1310,447,0.7455890722822994,0.854295723734128,0.0254967572740363,0.4387646714164864,0.0574087629031873,0.2480916030534351,0.1296024950103026,0.8676120921467149,0.027721816529338,0.552056884765625,0.0466087507652363,0.1792904853820801,0.0143863656971546,0.5926166719082062,0.0195889674417403,0.5848822559586776,0.0436197087240901,0.8525662898961291,,0.8547587394714355
filter,baseline,reference,FLOOR+terminus,22,xgboost,True,1757,1310,447,0.7455890722822994,0.8514827075370424,0.0287304931034497,0.4455945376233456,0.0631895056558882,0.2793893129770992,0.2409482461843536,0.8658513669496429,0.0331486541291483,0.5807821154594421,0.0499110184038483,0.1948406219482422,0.0179182168476699,0.6277687242092422,0.0418940809450892,0.5949131333924198,0.0813073781037671,0.8483626602779919,,0.7450356483459473
filter,baseline,reference,TERMINUS_ONLY,1,logreg,False,1757,1310,447,0.7455890722822994,0.7775745199027759,0.0189823050405869,0.2923269148622317,0.0222119059287534,0.0,0.0,0.8020975120603335,0.0329950593805165,0.5594424247741699,0.0120307084801344,0.1867580264806747,0.0045461256811311,0.5,0.0,0.5769798248372741,0.0438953761185485,0.7703120517433976,"0.1,0.1,0.1,0.1,1.0",0.7455027103424072
filter,baseline,reference,TERMINUS_ONLY,1,logreg,True,1757,1310,447,0.7455890722822994,0.7775745199027759,0.0189823050405869,0.2923269148622317,0.0222119059287534,0.0,0.0,0.8020975120603335,0.0329950593805165,0.6824347138404846,0.0097133060177161,0.2446760118007659,0.0048242412698954,0.5769798248372741,0.0438953761185485,0.5769798248372741,0.0438953761185485,0.7703120517433976,"0.1,0.1,0.1,0.1,0.1",0.7557108402252197
filter,baseline,reference,TERMINUS_ONLY,1,xgboost,False,1757,1310,447,0.7455890722822994,0.7775745199027759,0.0189823050405869,0.2923269148622317,0.0222119059287534,0.0,0.0,0.8020975120603335,0.0329950593805165,0.5595745921134949,0.0128189360101551,0.1868030697107315,0.0048320241731282,0.5,0.0,0.5769798248372741,0.0438953761185485,0.7703120517433976,,0.3009262084960937
filter,baseline,reference,TERMINUS_ONLY,1,xgboost,True,1757,1310,447,0.7455890722822994,0.7775745199027759,0.0189823050405869,0.2923269148622317,0.0222119059287534,0.0,0.0,0.8020975120603335,0.0329950593805165,0.6825754880905152,0.0101985454251136,0.2447461068630218,0.0050616620642138,0.5769798248372741,0.0438953761185485,0.5769798248372741,0.0438953761185485,0.7703120517433976,,0.2689931392669678
filter,OpenCell/protein/300m,A_model1_filter,MEANPOOL,960,logreg,False,1757,1310,447,0.7455890722822994,0.8888257809633545,0.0130881881151653,0.5281788217358516,0.0714829478238907,0.4732824427480915,0.1513059133046931,0.9114243741451592,0.019959252344654,0.4868409335613251,0.0216520681967299,0.1590685456991195,0.0101773582354154,0.5769527594323889,0.0483558987346681,0.6615850415987649,0.0507644125695964,0.8861886108567602,"0.001,0.001,0.001,0.001,0.001",2.8013851642608643
filter,OpenCell/protein/300m,A_model1_filter,MEANPOOL,960,logreg,True,1757,1310,447,0.7455890722822994,0.8897517045717457,0.0126386009763634,0.5235084931025318,0.0721169139265319,0.4969465648854962,0.1084735241817119,0.9064762697009074,0.0183717005964482,0.5759369134902954,0.0184215564320128,0.1964468091726303,0.0079717118689246,0.6967146982302656,0.0156867655243062,0.6700962537286408,0.0371101214914905,0.8865985920260516,"0.001,0.001,0.001,0.001,0.001",2.6208584308624268
filter,OpenCell/protein/300m,A_model1_filter,MEANPOOL,960,xgboost,False,1757,1310,447,0.7455890722822994,0.8876567470741232,0.0079796253842413,0.5352769839285655,0.0840074390532583,0.4793893129770993,0.1030746373439462,0.8915640621745226,0.015370587735024,0.5412950932979583,0.0548836605287157,0.167424327135086,0.0199678303312002,0.6246251346122691,0.0519059431585342,0.6624537076745671,0.0342305196039311,0.8856246311030325,,13.215043544769289
filter,OpenCell/protein/300m,A_model1_filter,MEANPOOL,960,xgboost,True,1757,1310,447,0.7455890722822994,0.886460195301067,0.0157574042001935,0.5315149230542852,0.0857430104641863,0.4183206106870228,0.1685148003090469,0.8919939826368963,0.0137521468348552,0.5251442968845368,0.046814997031789,0.1710809707641601,0.0185237398079267,0.6544848519503292,0.0587360158089332,0.6430679208241606,0.0554227320311981,0.8841818856758851,,13.206602811813354
filter,OpenCell/protein/300m,A_model1_filter,TERMINAL,2880,logreg,False,1757,1310,447,0.7455890722822994,0.8903300708402965,0.0105666908520832,0.5618522465859835,0.0738128872292762,0.5068702290076337,0.152609720220905,0.8975309592183096,0.0125082985388629,0.4803325057029724,0.026269081091219,0.1553992927074432,0.0118183630403068,0.6250122461427032,0.0436092938612538,0.6716997836673624,0.0508064167643065,0.8881193215449527,"0.001,0.001,0.001,0.001,0.001",3.4393105506896973
filter,OpenCell/protein/300m,A_model1_filter,TERMINAL,2880,logreg,True,1757,1310,447,0.7455890722822994,0.8895951740089851,0.0094482754819573,0.5557133144573261,0.0698248652813784,0.4961832061068702,0.1579248921036427,0.896131159935164,0.0102595315096344,0.5502624273300171,0.0214557103283296,0.1860779136419296,0.0096667056765953,0.6876894340090154,0.0407501316365753,0.6697145743393278,0.0524205647957639,0.8869281760297374,"0.001,0.001,0.001,0.001,0.001",3.493051052093506
filter,OpenCell/protein/300m,A_model1_filter,TERMINAL,2880,xgboost,False,1757,1310,447,0.7455890722822994,0.8854322208109424,0.0142706214491536,0.5420000153019757,0.0832872638804906,0.4862595419847328,0.0984851167514607,0.8998143061451499,0.0127504142210532,0.548520302772522,0.0593220083149503,0.1676113307476043,0.0189034302094123,0.61606093528128,0.0557546340729513,0.6659512441509182,0.0328548504991058,0.8824165020262684,,47.94906163215637
